id,strLocation,latitude,longitude,city,state,zip
75344-102052,Mandalay Bay-Shoppes at Mandalay Pl,36.093008,-115.175838,Las Vegas,NV,89119
75337-102213,Luxor - Convention West,36.095935,-115.176012,Las Vegas,NV,89119
75332-102165,Luxor - Hotel Registration,36.095886,-115.175497,Las Vegas,NV,89119
75343-102050,Mandalay Bay-Event Center Entrance,36.090414,-115.177831,Las Vegas,NV,89119
75348-102054,Excalibur - 2nd Floor Food Court,36.098674,-115.175059,Las Vegas,NV,89109
75342-102055,Excalibur - Casino Level,36.098874,-115.176596,Las Vegas,NV,89109
15450-153909,Tropicana Hotel Lobby,36.099634,-115.172168,Las Vegas,NV,89109
75566-28748,New York New York - Mezzanine Level,36.101337,-115.173877,Las Vegas,NV,89109
21135-201705,New York New York  Casino Level,36.10251,-115.173548,Las Vegas,NV,89109
72222-28747,MGM Grand - Casino Floor,36.102378,-115.170885,Las Vegas,NV,89109
53066-280227,MGM Grand - Hotel Lobby,36.10193,-115.168954,Las Vegas,NV,89109
59194-292616,TARGET LAS VEGAS SHOWCASE T-3323,36.10364,-115.172438,Las Vegas,NV,89109
49548-269824,Tropicana and Procyon,36.100454,-115.187398,Las Vegas,NV,89118
18560-176165,Aria - 2nd Level Promenade,36.106927,-115.177737,Las Vegas,NV,89158
19252-186946,Crystals Mall - Lower Level,36.107946,-115.175065,Las Vegas,NV,89158
75350-102512,The Signature at MGM - Tower 1,36.106803,-115.166471,Las Vegas,NV,89109
21134-207326,Vdara - Hotel Lobby,36.10941,-115.177361,Las Vegas,NV,89158
29472-247728,Cosmopolitan Las Vegas-Casino FL,36.109425,-115.173486,Las Vegas,NV,89109
18897-190187,Elara @ Hilton Grand Vacations-Las,36.108783,-115.169621,Las Vegas,NV,89109
72207-28836,Planet Hollywood Casino Floor Level,36.110491,-115.171735,Las Vegas,NV,89109
17666-182584,Planet Hollywood Lobby,36.110265,-115.170351,Las Vegas,NV,89109
22494-220546,LAS Terminal 1 A Gates,36.085724,-115.153391,Las Vegas,NV,89111
16859-170105,Caesars Palace Lobby,36.115266,-115.175338,Las Vegas,NV,89109
75758-94238,LAS Terminal 1 B Gates,36.083397,-115.151567,Las Vegas,NV,89118
17116-176964,LAS Terminal 1 Pre-Security,36.085205,-115.150037,Las Vegas,NV,89111
75629-84901,Westin Las Vegas,36.115032,-115.166386,Las Vegas,NV,89109
75696-94696,LAS Terminal 1 Baggage Claim,36.085661,-115.149354,Las Vegas,NV,89118
22265-176168,The Linq,36.117346,-115.17192,Las Vegas,NV,89109
22359-197864,Caesars Palace Food Court,36.117741,-115.175436,Las Vegas,NV,89109
75231-94365,Harrah's Casino Floor Entrance,36.118889,-115.171724,Las Vegas,NV,89109
5792-165544,Flamingo & Howard Hughes Pkwy,36.114565,-115.157411,Las Vegas,NV,89169
75226-89161,Rio Convention,36.118207,-115.187212,Las Vegas,NV,89103
75233-89181,Harrahs Casino LV Club Cappuccino,36.119509,-115.170442,Las Vegas,NV,89109
70041-135329,Mirage - South Entrance,36.120406,-115.17358,Las Vegas,NV,89109
5635-2088,Tropicana & Decatur Blvd.,36.100498,-115.209113,Las Vegas,NV,89103
53330-277625,Venetian Hotel,36.122434,-115.168291,Las Vegas,NV,89109
2776-252268,Flamingo & Arville,36.115048,-115.20214,Las Vegas,NV,89103
16054-148825,Treasure Island - Annex,36.123807,-115.170903,Las Vegas,NV,89109
54734-277626,Palazzo Tower,36.124085,-115.168028,Las Vegas,NV,89109
27850-248890,Las Vegas Boulevard and 215,36.062154,-115.171945,Las Vegas,NV,89119
72108-4698,Treasure Island Hotel & Casino,36.125241,-115.170771,Las Vegas,NV,89109
75766-96821,LAS Terminal 1 Concourse D Gate D36,36.080851,-115.139356,Las Vegas,NV,89118
75272-43720,UNLV - Student Union,36.105996,-115.138492,Las Vegas,NV,89154
60009-293897,UNLV Science and Engineering Lobby,36.110583,-115.141245,Las Vegas,NV,89154
13812-111229,"4780 S. Maryland Pkwy., Las Vegas",36.102964,-115.136573,Las Vegas,NV,89119
75764-96592,LAS Terminal 1 Concourse D Rotunda,36.08148,-115.137601,Las Vegas,NV,89118
9275-84180,Spring Mountain & Valley View,36.125953,-115.189503,Las Vegas,NV,89102
5278-736,Fashion Show Mall,36.12776,-115.169853,Las Vegas,NV,89109
76959-129330,Target Las Vegas Flamingo T-265,36.116567,-115.139191,Las Vegas,NV,89119
73679-101565,Albertsons - Las Vegas #129,36.098897,-115.223894,Las Vegas,NV,89103
